Date,Company,Product,Units
2/2/2015 8:30,Hooli,Software,3
2/2/2015 21:00,Mediacore,Hardware,9
2/3/2015 14:00,Initech,Software,13
2/4/2015 15:30,Streeplex,Software,13
2/4/2015 22:00,Acme Coporation,Hardware,14
2/5/2015 2:00,Acme Coporation,Software,19
2/5/2015 22:00,Hooli,Service,10
2/7/2015 23:00,Acme Coporation,Hardware,1
2/9/2015 9:00,Streeplex,Service,19
2/9/2015 13:00,Mediacore,Software,7
2/11/2015 20:00,Initech,Software,7
2/11/2015 23:00,Hooli,Software,4
2/16/2015 12:00,Hooli,Software,10
2/19/2015 11:00,Mediacore,Hardware,16
2/19/2015 16:00,Mediacore,Service,10
2/21/2015 5:00,Mediacore,Software,3
2/21/2015 20:30,Hooli,Hardware,3
2/25/2015 0:30,Initech,Service,10
2/26/2015 9:00,Streeplex,Service,4
